Year,Physics,Chemistry,Physiology or Medicine,Literature,Peace,Economics
1901,Wilhelm R??ntgen,Jacobus Henricus van 't Hoff,Emil Adolf von Behring,Sully Prudhomme,"Henry Dunant;
Fr??d??ric Passy",???
1902,"Hendrik Lorentz;
Pieter Zeeman",Hermann Emil Fischer,Ronald Ross,Theodor Mommsen,"??lie Ducommun;
Charles Albert Gobat",???
1903,"Henri Becquerel;
Pierre Curie;
Marie Curie",Svante Arrhenius,Niels Ryberg Finsen,Bj??rnstjerne Bj??rnson,Randal Cremer,???
1904,Lord Rayleigh,William Ramsay,Ivan Pavlov,"Fr??d??ric Mistral;
Jos?? Echegaray",Institut de Droit International,???
1905,Philipp Lenard,Adolf von Baeyer,Robert Koch,Henryk Sienkiewicz,Bertha von Suttner,???
1906,J. J. Thomson,Henri Moissan,"Camillo Golgi;
Santiago Ram??n y Cajal",Giosu?? Carducci,Theodore Roosevelt,???
1907,Albert Abraham Michelson,Eduard Buchner,Charles Louis Alphonse Laveran,Rudyard Kipling,"Ernesto Teodoro Moneta;
Louis Renault",???
1908,Gabriel Lippmann,Ernest Rutherford,"??lie Metchnikoff;
Paul Ehrlich",Rudolf Christoph Eucken,"Klas Pontus Arnoldson;
Fredrik Bajer",???
1909,"Karl Ferdinand Braun;
Guglielmo Marconi",Wilhelm Ostwald,Emil Theodor Kocher,Selma Lagerl??f,"Auguste Marie Fran??ois Beernaert;
Paul-Henri-Benjamin d'Estournelles de Constant",???
1910,Johannes Diderik van der Waals,Otto Wallach,Albrecht Kossel,Paul Heyse,International Peace Bureau,???
1911,Wilhelm Wien,Marie Curie,Allvar Gullstrand,Maurice Maeterlinck,"Tobias Asser;
Alfred Hermann Fried",???
1912,Gustaf Dal??n,"Victor Grignard;
Paul Sabatier",Alexis Carrel,Gerhart Hauptmann,Elihu Root,???
1913,Heike Kamerlingh Onnes,Alfred Werner,Charles Richet,Rabindranath Tagore,Henri La Fontaine,???
1914,Max von Laue,Theodore William Richards,Robert B??r??ny,None,None,???
1915,"William Henry Bragg;
William Lawrence Bragg",Richard Willst??tter,None,Romain Rolland,None,???
1916,None,None,None,Verner von Heidenstam,None,???
1917,Charles Glover Barkla,None,None,"Karl Adolph Gjellerup;
Henrik Pontoppidan",International Committee of the Red Cross,???
1918,Max Planck,Fritz Haber,None,None,None,???
1919,Johannes Stark,None,Jules Bordet,Carl Spitteler,Woodrow Wilson,???
1920,Charles ??douard Guillaume,Walther Nernst,August Krogh,Knut Hamsun,L??on Bourgeois,???
1921,Albert Einstein,Frederick Soddy,None,Anatole France,"Hjalmar Branting;
Christian Lous Lange",???
1922,Niels Bohr,Francis William Aston,"Archibald Hill;
Otto Fritz Meyerhof",Jacinto Benavente,Fridtjof Nansen,???
1923,Robert Andrews Millikan,Fritz Pregl,"Frederick Banting;
John James Rickard Macleod",W. B. Yeats,None,???
1924,Manne Siegbahn,None,Willem Einthoven,W??adys??aw Reymont,None,???
1925,"James Franck;
Gustav Ludwig Hertz",Richard Adolf Zsigmondy,None,George Bernard Shaw,"Austen Chamberlain;
Charles G. Dawes",???
1926,Jean Baptiste Perrin,Theodor Svedberg,Johannes Fibiger,Grazia Deledda,"Aristide Briand;
Gustav Stresemann",???
1927,"Arthur Compton;
Charles Thomson Rees Wilson",Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,"Ferdinand Buisson;
Ludwig Quidde",???
1928,Owen Willans Richardson,Adolf Otto Reinhold Windaus,Charles Nicolle,Sigrid Undset,None,???
1929,Louis de Broglie,"Arthur Harden;
Hans von Euler-Chelpin","Christiaan Eijkman;
Frederick Gowland Hopkins",Thomas Mann,Frank B. Kellogg,???
1930,C. V. Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan S??derblom,???
1931,None,"Carl Bosch;
Friedrich Bergius",Otto Heinrich Warburg,Erik Axel Karlfeldt,"Jane Addams;
Nicholas Murray Butler",???
1932,Werner Heisenberg,Irving Langmuir,"Charles Scott Sherrington;
Edgar Adrian",John Galsworthy,None,???
1933,"Erwin Schr??dinger;
Paul Dirac",None,Thomas Hunt Morgan,Ivan Bunin,Norman Angell,???
1934,None,Harold Urey,"George Whipple;
George Minot;
William P. Murphy",Luigi Pirandello,Arthur Henderson,???
1935,James Chadwick,"Fr??d??ric Joliot-Curie;
Ir??ne Joliot-Curie",Hans Spemann,None,Carl von Ossietzky,???
1936,"Victor Francis Hess;
Carl David Anderson",Peter Debye,"Henry Hallett Dale;
Otto Loewi",Eugene O'Neill,Carlos Saavedra Lamas,???
1937,"Clinton Davisson;
George Paget Thomson","Norman Haworth;
Paul Karrer",Albert Szent-Gy??rgyi,Roger Martin du Gard,The Viscount Cecil of Chelwood,???
1938,Enrico Fermi,Richard Kuhn[A],Corneille Heymans,Pearl S. Buck,Nansen International Office For Refugees,???
1939,Ernest Lawrence,"Adolf Butenandt;[A]
Leopold Ru??i??ka",Gerhard Domagk[A],Frans Eemil Sillanp????,None,???
1940,None,None,None,None,None,???
1941,None,None,None,None,None,???
1942,None,None,None,None,None,???
1943,Otto Stern,George de Hevesy,"Henrik Dam;
Edward Adelbert Doisy",None,None,???
1944,Isidor Isaac Rabi,Otto Hahn,"Joseph Erlanger;
Herbert Spencer Gasser",Johannes Vilhelm Jensen,International Committee of the Red Cross,???
1945,Wolfgang Pauli,Artturi Ilmari Virtanen,"Alexander Fleming;
Ernst Boris Chain;
Howard Florey",Gabriela Mistral,Cordell Hull,???
1946,Percy Williams Bridgman,"James B. Sumner;
John Howard Northrop;
Wendell Meredith Stanley",Hermann Joseph Muller,Hermann Hesse,"Emily Greene Balch;
John Mott",???
1947,Edward Victor Appleton,Robert Robinson,"Carl Ferdinand Cori;
Gerty Cori;
Bernardo Houssay",Andr?? Gide,"Friends Service Council;
American Friends Service Committee",???
1948,Patrick Blackett,Arne Tiselius,Paul Hermann M??ller,T. S. Eliot,None[B],???
1949,Hideki Yukawa,William Giauque,"Walter Rudolf Hess;
Ant??nio Egas Moniz",William Faulkner,John Boyd Orr,???
1950,C. F. Powell,"Otto Diels;
Kurt Alder","Philip Showalter Hench;
Edward Calvin Kendall;
Tadeus Reichstein",Bertrand Russell,Ralph Bunche,???
1951,"John Cockcroft;
Ernest Walton","Edwin McMillan;
Glenn T. Seaborg",Max Theiler,P??r Lagerkvist,L??on Jouhaux,???
1952,"Felix Bloch;
Edward Mills Purcell","Archer John Porter Martin;
Richard Laurence Millington Synge",Selman Waksman,Fran??ois Mauriac,Albert Schweitzer,???
1953,Frits Zernike,Hermann Staudinger,"Hans Adolf Krebs;
Fritz Albert Lipmann",Winston Churchill,George Marshall,???
1954,"Max Born;
Walther Bothe",Linus Pauling,"John Franklin Enders;
Frederick Chapman Robbins;
Thomas Huckle Weller",Ernest Hemingway,United Nations High Commissioner for Refugees,???
1955,"Willis Lamb;
Polykarp Kusch",Vincent du Vigneaud,Hugo Theorell,Halld??r Laxness,None,???
1956,"John Bardeen;
Walter Houser Brattain;
William Shockley","Cyril Norman Hinshelwood;
Nikolay Semyonov","Andr?? Fr??d??ric Cournand;
Werner Forssmann;
Dickinson W. Richards",Juan Ram??n Jim??nez,None,???
1957,"Chen Ning Yang;
Tsung-Dao Lee",The Lord Todd,Daniel Bovet,Albert Camus,Lester B. Pearson,???
1958,"Pavel Cherenkov;
Ilya Frank;
Igor Tamm",Frederick Sanger,"George Wells Beadle;
Edward Lawrie Tatum;
Joshua Lederberg",Boris Pasternak[C],Dominique Pire,???
1959,"Emilio G. Segr??;
Owen Chamberlain",Jaroslav Heyrovsk??,"Arthur Kornberg;
Severo Ochoa",Salvatore Quasimodo,Philip Noel-Baker,???
1960,Donald A. Glaser,Willard Libby,"Frank Macfarlane Burnet;
Peter Medawar",Saint-John Perse,Albert Lutuli,???
1961,"Robert Hofstadter;
Rudolf M??ssbauer",Melvin Calvin,Georg von B??k??sy,Ivo Andri??,Dag Hammarskj??ld,???
